Landroid/compat/Compatibility$BehaviorChangeDelegate;->isChangeEnabled(J)Z,blocked,core-platform-api
Landroid/compat/Compatibility$BehaviorChangeDelegate;->onChangeReported(J)V,blocked,core-platform-api
Landroid/compat/Compatibility$ChangeConfig;-><init>(Ljava/util/Set;Ljava/util/Set;)V,blocked,core-platform-api
Landroid/compat/Compatibility$ChangeConfig;->equals(Ljava/lang/Object;)Z,core-platform-api,public-api,sdk,system-api,test-api
Landroid/compat/Compatibility$ChangeConfig;->getDisabledChangesArray()[J,blocked,core-platform-api
Landroid/compat/Compatibility$ChangeConfig;->getDisabledSet()Ljava/util/Set;,blocked,core-platform-api
Landroid/compat/Compatibility$ChangeConfig;->getEnabledChangesArray()[J,blocked,core-platform-api
Landroid/compat/Compatibility$ChangeConfig;->getEnabledSet()Ljava/util/Set;,blocked,core-platform-api
Landroid/compat/Compatibility$ChangeConfig;->hashCode()I,core-platform-api,public-api,sdk,system-api,test-api
Landroid/compat/Compatibility$ChangeConfig;->isEmpty()Z,blocked,core-platform-api
Landroid/compat/Compatibility$ChangeConfig;->isForceDisabled(J)Z,blocked,core-platform-api
Landroid/compat/Compatibility$ChangeConfig;->isForceEnabled(J)Z,blocked,core-platform-api
Landroid/compat/Compatibility$ChangeConfig;->toString()Ljava/lang/String;,core-platform-api,public-api,sdk,system-api,test-api
Landroid/compat/Compatibility$OverrideCallbacks;->isChangeEnabled(J)Z,blocked,core-platform-api
Landroid/compat/Compatibility;->clearBehaviorChangeDelegate()V,blocked,core-platform-api
Landroid/compat/Compatibility;->clearOverrides()V,blocked,core-platform-api
Landroid/compat/Compatibility;->isChangeEnabled(J)Z,blocked,core-platform-api
Landroid/compat/Compatibility;->reportUnconditionalChange(J)V,blocked,core-platform-api
Landroid/compat/Compatibility;->setBehaviorChangeDelegate(Landroid/compat/Compatibility$BehaviorChangeDelegate;)V,blocked,core-platform-api
Landroid/compat/Compatibility;->setOverrides(Landroid/compat/Compatibility$ChangeConfig;)V,blocked,core-platform-api
Landroid/crypto/hpke/DuckTypedHpkeSpi;->engineExport(I[B)[B,core-platform-api,public-api,sdk,system-api,test-api
Landroid/crypto/hpke/DuckTypedHpkeSpi;->engineInitRecipient([BLjava/security/PrivateKey;[BLjava/security/PublicKey;[B[B)V,core-platform-api,public-api,sdk,system-api,test-api
Landroid/crypto/hpke/DuckTypedHpkeSpi;->engineInitSender(Ljava/security/PublicKey;[BLjava/security/PrivateKey;[B[B)V,core-platform-api,public-api,sdk,system-api,test-api
Landroid/crypto/hpke/DuckTypedHpkeSpi;->engineInitSenderWithSeed(Ljava/security/PublicKey;[BLjava/security/PrivateKey;[B[B[B)V,core-platform-api,public-api,sdk,system-api,test-api
Landroid/crypto/hpke/DuckTypedHpkeSpi;->engineOpen([B[B)[B,core-platform-api,public-api,sdk,system-api,test-api
Landroid/crypto/hpke/DuckTypedHpkeSpi;->engineSeal([B[B)[B,core-platform-api,public-api,sdk,system-api,test-api
Landroid/crypto/hpke/DuckTypedHpkeSpi;->getEncapsulated()[B,core-platform-api,public-api,sdk,system-api,test-api
Landroid/crypto/hpke/HpkeSpi;->engineExport(I[B)[B,core-platform-api,public-api,sdk,system-api,test-api
Landroid/crypto/hpke/HpkeSpi;->engineInitRecipient([BLjava/security/PrivateKey;[BLjava/security/PublicKey;[B[B)V,core-platform-api,public-api,sdk,system-api,test-api
Landroid/crypto/hpke/HpkeSpi;->engineInitSender(Ljava/security/PublicKey;[BLjava/security/PrivateKey;[B[B)V,core-platform-api,public-api,sdk,system-api,test-api
Landroid/crypto/hpke/HpkeSpi;->engineInitSenderWithSeed(Ljava/security/PublicKey;[BLjava/security/PrivateKey;[B[B[B)V,core-platform-api,public-api,sdk,system-api,test-api
Landroid/crypto/hpke/HpkeSpi;->engineOpen([B[B)[B,core-platform-api,public-api,sdk,system-api,test-api
